,lr,hidden_dim,num_layers,output_dim,window_size,horizon,best_model,valid_loss,test_loss
9,0.001,128,1,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.097001595376324e-05,3.483616125729943e-05
13,0.001,128,2,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0948546037955554e-05,3.484858002593683e-05
28,0.0005,128,2,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.101881361751312e-05,3.485578578178107e-05
5,0.001,64,2,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0949629511316226e-05,3.486516963097198e-05
20,0.0005,64,2,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1025933679467285e-05,3.487406546007044e-05
17,0.0005,64,1,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.099077592863718e-05,3.4879129201750375e-05
12,0.001,128,2,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.102366718205445e-05,3.4886423355164406e-05
24,0.0005,128,1,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.106074792064493e-05,3.488953123616573e-05
4,0.001,64,2,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1035242191196096e-05,3.489269822044402e-05
29,0.0005,128,2,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0957619402782124e-05,3.4903551159890433e-05
19,0.0005,64,1,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.094996866776095e-05,3.4926388507846205e-05
21,0.0005,64,2,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0997050816063576e-05,3.49304099195074e-05
7,0.001,64,2,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.100601451305901e-05,3.493161101234913e-05
23,0.0005,64,2,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0935892544382945e-05,3.494056840006957e-05
8,0.001,128,1,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1132193576367254e-05,3.4946083088152e-05
3,0.001,64,1,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.096704359353055e-05,3.49462390705213e-05
15,0.001,128,2,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.092261440905096e-05,3.495184555231864e-05
22,0.0005,64,2,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.09296331128913e-05,3.495782220852561e-05
6,0.001,64,2,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.09462036812162e-05,3.49644400040224e-05
30,0.0005,128,2,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0945864693711464e-05,3.496561171978385e-05
14,0.001,128,2,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.0946909398774665e-05,3.4965624334285884e-05
11,0.001,128,1,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.095087909090523e-05,3.49881712224942e-05
18,0.0005,64,1,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.105292129078028e-05,3.500082945606664e-05
25,0.0005,128,1,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.122065255830409e-05,3.5004358230619436e-05
31,0.0005,128,2,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.096042413536376e-05,3.501743625851835e-05
16,0.0005,64,1,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1079110927547574e-05,3.5030390607699975e-05
10,0.001,128,1,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1241638924300524e-05,3.510784615083177e-05
26,0.0005,128,1,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.107791915529939e-05,3.513276720568115e-05
27,0.0005,128,1,1,120,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1138541577344654e-05,3.5213855088163846e-05
2,0.001,64,1,1,120,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.1265732772994475e-05,3.5217740293802535e-05
0,0.001,64,1,1,60,10,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.130773329551335e-05,3.5364003475750634e-05
1,0.001,64,1,1,60,20,../model_checkpoints/lstm_IOTA/0.1__0.00.pth,5.13699979896424e-05,3.549341021006477e-05
